geoid,centroid_lat,centroid_lon
17031530400,41.674039,-87.651526
17031530600,41.670391,-87.618996
17031560100,41.815338,-87.741273
17031670200,41.790425,-87.662062
17031670300,41.790358,-87.666917
17031670400,41.7903,-87.67177
17031661100,41.760786,-87.702664
17031670100,41.790494,-87.657209
17031670600,41.783005,-87.671576
17031670700,41.783068,-87.666731
17031670800,41.783145,-87.66188
17031670900,41.783212,-87.657022
17031260900,41.871029,-87.722813
17031261000,41.871338,-87.732009
17031281900,41.879247,-87.642619
17031310200,41.85631,-87.644209
17031310300,41.856144,-87.648978
17031310400,41.856506,-87.65226
17031310500,41.855248,-87.65474
17031491200,41.688776,-87.637438
17031491300,41.688897,-87.627804
17031491400,41.689123,-87.616821
17031500100,41.714684,-87.595029
17031500200,41.700856,-87.600309
17031500300,41.689315,-87.60537
17031560200,41.811331,-87.747827
17031560300,41.803908,-87.747987
17031560700,41.796463,-87.757521
17031560800,41.796206,-87.772166
17031560900,41.79577,-87.791651
17031010300,42.015944,-87.66654
17031010400,42.004911,-87.659155
17031010600,42.006277,-87.667682
