activity_year,census_tract,group,applications,denials,originations,orig_dollars
2018,17031060900,Other / Joint,11,0,10,2800000.0
2018,17031060900,Race not available,33,4,29,28925000.0
2018,17031060900,White (non-Hispanic),187,27,154,29500000.0
2018,17031061000,Asian,2,1,1,345000.0
2018,17031061000,Black,1,1,0,0.0
2018,17031061000,Latino/Hispanic,3,1,2,630000.0
2018,17031061000,Race not available,12,5,7,5735000.0
2018,17031061000,White (non-Hispanic),55,7,47,17125000.0
2018,17031061100,Asian,1,1,0,0.0
2018,17031061100,Latino/Hispanic,3,0,3,845000.0
2018,17031061100,Other / Joint,1,0,1,485000.0
2018,17031061100,Race not available,3,1,2,1130000.0
2018,17031061100,White (non-Hispanic),28,1,27,8945000.0
2018,17031061200,Asian,1,0,1,265000.0
2018,17031061200,Latino/Hispanic,3,0,3,1775000.0
2018,17031061200,Other / Joint,1,0,1,285000.0
2018,17031061200,Race not available,10,0,9,6715000.0
2018,17031061200,White (non-Hispanic),22,2,20,7120000.0
2018,17031061500,Asian,4,1,3,2255000.0
2018,17031061500,Black,1,0,1,365000.0
2018,17031061500,Latino/Hispanic,2,2,0,0.0
2018,17031061500,Other / Joint,3,0,3,2475000.0
2018,17031061500,Race not available,14,1,13,8805000.0
2018,17031061500,White (non-Hispanic),40,4,34,18710000.0
2018,17031061800,Asian,1,0,1,275000.0
2018,17031061800,Race not available,5,3,2,640000.0
2018,17031061800,White (non-Hispanic),17,2,15,4395000.0
2018,17031061901,Asian,8,1,7,1525000.0
2018,17031061901,Latino/Hispanic,3,0,3,1055000.0
2018,17031061901,Other / Joint,2,0,2,1480000.0
2018,17031061901,Race not available,8,3,4,11750000.0
2018,17031061901,White (non-Hispanic),80,13,66,17220000.0
2018,17031061902,Asian,7,2,5,1205000.0
2018,17031061902,Black,5,2,3,825000.0
2018,17031061902,Latino/Hispanic,3,1,2,220000.0
2018,17031061902,Other / Joint,4,3,1,305000.0
2018,17031061902,Race not available,23,5,18,92140000.0
2018,17031061902,White (non-Hispanic),68,14,54,14800000.0
2018,17031062000,Asian,1,0,1,455000.0
2018,17031062000,Black,1,1,0,0.0
2018,17031062000,Latino/Hispanic,4,0,4,1550000.0
2018,17031062000,Other / Joint,2,1,1,355000.0
2018,17031062000,Race not available,14,1,13,16445000.0
2018,17031062000,White (non-Hispanic),73,9,63,23805000.0
2018,17031062100,Asian,5,0,5,2315000.0
2018,17031062100,Black,3,0,3,1315000.0
2018,17031062100,Latino/Hispanic,3,1,2,800000.0
2018,17031062100,Other / Joint,3,0,3,1515000.0
2018,17031062100,Race not available,26,6,20,69240000.0
2018,17031062100,White (non-Hispanic),69,7,59,21935000.0
2018,17031062200,Asian,3,0,3,1365000.0
2018,17031062200,Black,1,0,1,465000.0
2018,17031062200,Latino/Hispanic,5,0,5,1845000.0
2018,17031062200,Other / Joint,3,0,3,775000.0
2018,17031062200,Race not available,25,2,23,19105000.0
2018,17031062200,White (non-Hispanic),99,10,86,36950000.0
2018,17031062300,Asian,3,0,3,1925000.0
2018,17031062300,Latino/Hispanic,1,0,1,595000.0
2018,17031062300,Race not available,14,4,10,9540000.0
2018,17031062300,White (non-Hispanic),55,8,47,29415000.0
2018,17031062400,Black,1,1,0,0.0
2018,17031062400,Other / Joint,2,0,2,1210000.0
2018,17031062400,Race not available,12,0,12,7560000.0
2018,17031062400,White (non-Hispanic),38,8,30,14290000.0
2018,17031062500,Asian,10,1,9,5105000.0
2018,17031062500,Black,2,2,0,0.0
2018,17031062500,Latino/Hispanic,3,1,2,820000.0
2018,17031062500,Other / Joint,3,1,2,1100000.0
2018,17031062500,Race not available,12,1,11,6245000.0
2018,17031062500,White (non-Hispanic),59,10,49,16995000.0
2018,17031062600,Asian,13,4,9,5805000.0
2018,17031062600,Latino/Hispanic,2,1,1,715000.0
2018,17031062600,Other / Joint,5,1,4,2450000.0
2018,17031062600,Race not available,11,2,9,6845000.0
2018,17031062600,White (non-Hispanic),60,7,51,25885000.0
2018,17031062700,Asian,3,0,3,2195000.0
