start_station_id,start_station_name,trips,member_trips,casual_trips,classic_trips,electric_trips,docked_trips,rtype_other_trips,mean_start_lat,mean_start_lng,coord_n,dist_sum_m,dist_n
TA1309000036,Burling St & Diversey Pkwy,3751,2818,933,2281,1470,0,0,41.933126,-87.647751,3751,8350115.7,3751
13036,Michigan Ave & Madison St,3751,1869,1882,2255,1496,0,0,41.882093,-87.625151,3751,7601222.2,3739
13133,Damen Ave & Cortland St,3749,2387,1362,2040,1709,0,0,41.915979,-87.677317,3749,9660068.7,3743
SL-011,Wells St & Polk St,3731,2442,1289,2154,1577,0,0,41.872755,-87.633579,3731,5745852.8,3726
13160,May St & Taylor St,3723,3039,684,2394,1329,0,0,41.869548,-87.654552,3723,5032653.1,3717
TA1306000015,Sangamon St & Lake St,3675,2607,1068,2219,1456,0,0,41.885801,-87.651039,3675,7324047.9,3672
KA1504000146,Clark St & Berwyn Ave,3661,2406,1255,1559,2102,0,0,41.978029,-87.668446,3661,9875622.7,3652
TA1306000014,Wilton Ave & Diversey Pkwy,3658,2593,1065,1946,1712,0,0,41.932415,-87.652700,3658,7015828.1,3656
TA1308000019,Racine Ave & Belmont Ave,3623,2349,1274,1969,1654,0,0,41.939727,-87.658870,3623,8130775.0,3620
TA1307000163,Clifton Ave & Armitage Ave,3578,2562,1016,2160,1418,0,0,41.918210,-87.656957,3578,7824208.5,3577
TA1307000064,Lincoln Ave & Diversey Pkwy,3525,2310,1215,1906,1619,0,0,41.932200,-87.658640,3525,8285037.4,3523
TA1305000039,Elston Ave & Cortland St,3521,2377,1144,1834,1687,0,0,41.916436,-87.666753,3521,7811758.4,3518
13229,Southport Ave & Belmont Ave,3510,2408,1102,2082,1428,0,0,41.939446,-87.663753,3510,7664808.3,3506
TA1309000001,Halsted St & Maxwell St,3490,2526,964,1632,1858,0,0,41.864871,-87.647073,3490,5504979.8,3485
TA1305000005,Dearborn St & Adams St,3469,2305,1164,2286,1183,0,0,41.879317,-87.629760,3469,6279479.4,3463
13034,Michigan Ave & Pearson St,3462,1674,1788,2371,1091,0,0,41.897609,-87.623534,3462,7037133.2,3452
TA1309000011,Ellis Ave & 58th St,3445,2759,686,2600,845,0,0,41.788738,-87.601308,3445,4084330.3,3441
TA1307000166,Halsted St & Willow St,3443,2364,1079,1903,1540,0,0,41.913853,-87.648758,3443,7495545.6,3436
TA1307000113,Southport Ave & Wrightwood Ave,3420,2291,1129,1878,1542,0,0,41.928781,-87.663904,3420,6913708.4,3419
13085,Kedzie Ave & Milwaukee Ave,3417,2096,1321,1744,1673,0,0,41.929341,-87.707942,3417,8981020.6,3414
KA1504000079,Larrabee St & Division St,3416,2269,1147,2156,1260,0,0,41.903494,-87.643351,3416,5833178.4,3412
13132,Damen Ave & Chicago Ave,3380,2377,1003,1456,1924,0,0,41.895727,-87.677195,3380,8332538.7,3376
22002,Woodlawn Ave & 58th St,3366,2466,900,2428,938,0,0,41.789387,-87.596481,3366,4619276.6,3365
TA1309000063,Lake Park Ave & 56th St,3343,2286,1057,2471,872,0,0,41.793243,-87.587784,3343,5418625.0,3337
TA1305000004,McCormick Place,3340,964,2376,2295,1045,0,0,41.851409,-87.618905,3340,8413606.8,3328
TA1309000027,Sheridan Rd & Buena Ave,3329,2378,951,1745,1584,0,0,41.958482,-87.654980,3329,6847040.4,3327
13150,Michigan Ave & 18th St,3308,1958,1350,2103,1205,0,0,41.857898,-87.624366,3308,7696651.3,3297
13156,Aberdeen St & Monroe St,3293,2503,790,2045,1248,0,0,41.880413,-87.655534,3293,6110137.1,3289
SL-010,Financial Pl & Ida B Wells Dr,3291,2354,937,2073,1218,0,0,41.875016,-87.633121,3291,5842220.8,3286
KA1503000072,Wacker Dr & Washington St,3242,2491,751,1458,1784,0,0,41.883165,-87.637275,3242,5727787.3,3240
TA1309000042,Lincoln Ave & Melrose St,3203,2350,853,1737,1466,0,0,41.940596,-87.669463,3203,7474176.7,3201
TA1309000014,Clark St & Leland Ave,3202,2092,1110,1780,1422,0,0,41.967092,-87.667330,3202,7615503.9,3200
13196,Carpenter St & Huron St,3155,2195,960,1535,1620,0,0,41.894553,-87.653446,3155,6432469.7,3153
13068,Western Ave & Winnebago Ave,3132,2106,1026,1752,1380,0,0,41.915529,-87.687020,3132,7400210.5,3130
KA1504000116,Larrabee St & Oak St,3106,2374,732,1876,1230,0,0,41.900221,-87.642988,3106,6052538.9,3105
TA1305000035,State St & Van Buren St,3105,1815,1290,1994,1111,0,0,41.877168,-87.627868,3105,5928838.2,3089
13194,Ogden Ave & Race Ave,3082,2200,882,1580,1502,0,0,41.891822,-87.658762,3082,6185844.7,3079
WL-011,Jefferson St & Monroe St,3033,2156,877,1896,1137,0,0,41.880333,-87.642758,3033,5197969.5,3026
chargingstx3,Green St & Randolph St*,3003,1896,1107,1718,1285,0,0,41.883612,-87.648602,3003,6359083.3,2997
13102,Calumet Ave & 18th St,2999,1694,1305,1913,1086,0,0,41.857605,-87.619404,2999,7188365.2,2990
636,Orleans St & Hubbard St,2990,2132,858,1733,1257,0,0,41.889303,-87.636222,2990,4796302.9,2987
SL-007,State St & Harrison St,2985,1680,1305,2145,840,0,0,41.874047,-87.627723,2985,5067560.1,2980
SL-012,Wabash Ave & 16th St,2952,1900,1052,1947,1005,0,0,41.860389,-87.625816,2952,6421295.9,2944
15535,Desplaines St & Randolph St,2933,2015,918,1669,1264,0,0,41.883691,-87.644262,2933,5376201.5,2931
13136,Damen Ave & Division St,2932,1986,946,1357,1575,0,0,41.903263,-87.678448,2932,6935154.0,2926
TA1307000061,State St & Pearson St,2923,1991,932,2087,836,0,0,41.897462,-87.628739,2923,5357141.8,2919
TA1306000032,Sheffield Ave & Willow St,2900,2117,783,1779,1121,0,0,41.913702,-87.652852,2900,6170972.0,2897
KA1503000007,Cornell Ave & Hyde Park Blvd,2884,2000,884,1994,890,0,0,41.802399,-87.586910,2884,6363061.4,2876
TA1305000009,Clark St & Ida B Wells Dr,2865,1935,930,1916,949,0,0,41.875971,-87.630619,2865,4697867.7,2857
KA1504000104,Paulina St & Flournoy St,2829,2402,427,1331,1498,0,0,41.873058,-87.669116,2829,6673646.2,2829
620,Orleans St & Chestnut St (NEXT Apts),2816,2014,802,1657,1159,0,0,41.898061,-87.637549,2816,4504644.5,2810
TA1309000064,Wolcott Ave & Polk St,2809,2418,391,1573,1236,0,0,41.871276,-87.673685,2809,6023100.5,2807
