NAME,B19013_001E,B25003_001E,B25003_002E,B25003_003E,B25002_001E,B25002_003E,state,county,tract
"Census Tract 2222, Cook County, Illinois",188065,1018,535,483,1074,56,17,031,222200
"Census Tract 2225, Cook County, Illinois",155878,549,303,246,657,108,17,031,222500
"Census Tract 2226, Cook County, Illinois",94688,754,312,442,824,70,17,031,222600
"Census Tract 2227, Cook County, Illinois",86473,819,298,521,889,70,17,031,222700
"Census Tract 2228, Cook County, Illinois",71484,433,64,369,464,31,17,031,222800
"Census Tract 2229, Cook County, Illinois",89630,396,145,251,457,61,17,031,222900
"Census Tract 2301, Cook County, Illinois",89773,628,301,327,706,78,17,031,230100
"Census Tract 2302, Cook County, Illinois",78056,688,301,387,744,56,17,031,230200
"Census Tract 2303, Cook County, Illinois",67337,247,98,149,282,35,17,031,230300
"Census Tract 2304, Cook County, Illinois",91771,774,427,347,787,13,17,031,230400
"Census Tract 2305, Cook County, Illinois",35727,1291,333,958,1356,65,17,031,230500
"Census Tract 2306, Cook County, Illinois",57220,2164,600,1564,2259,95,17,031,230600
"Census Tract 2307, Cook County, Illinois",33994,2070,936,1134,2115,45,17,031,230700
"Census Tract 2308, Cook County, Illinois",71328,376,272,104,392,16,17,031,230800
"Census Tract 2309, Cook County, Illinois",80756,2024,843,1181,2207,183,17,031,230900
"Census Tract 2311, Cook County, Illinois",59745,424,259,165,465,41,17,031,231100
"Census Tract 2312, Cook County, Illinois",31629,1985,812,1173,2260,275,17,031,231200
"Census Tract 2315, Cook County, Illinois",31755,2270,673,1597,2680,410,17,031,231500
"Census Tract 2402, Cook County, Illinois",172019,805,528,277,825,20,17,031,240200
"Census Tract 2403, Cook County, Illinois",142292,610,342,268,704,94,17,031,240300
"Census Tract 2405, Cook County, Illinois",178770,1349,784,565,1349,0,17,031,240500
"Census Tract 2406, Cook County, Illinois",166537,771,445,326,771,0,17,031,240600
"Census Tract 2407, Cook County, Illinois",96250,718,262,456,718,0,17,031,240700
"Census Tract 2408, Cook County, Illinois",103565,695,319,376,750,55,17,031,240800
"Census Tract 2409, Cook County, Illinois",98145,541,200,341,610,69,17,031,240900
"Census Tract 2410, Cook County, Illinois",96518,860,295,565,969,109,17,031,241000
"Census Tract 2411, Cook County, Illinois",90822,1664,553,1111,1837,173,17,031,241100
"Census Tract 2412, Cook County, Illinois",139688,887,362,525,944,57,17,031,241200
"Census Tract 2413, Cook County, Illinois",182829,791,429,362,833,42,17,031,241300
"Census Tract 2414, Cook County, Illinois",200429,2600,822,1778,2615,15,17,031,241400
"Census Tract 2415, Cook County, Illinois",178750,1305,534,771,1530,225,17,031,241500
"Census Tract 2416, Cook County, Illinois",121471,1774,446,1328,1823,49,17,031,241600
"Census Tract 2420, Cook County, Illinois",151724,2312,812,1500,2535,223,17,031,242000
"Census Tract 2421, Cook County, Illinois",205338,2044,1134,910,2212,168,17,031,242100
"Census Tract 2422, Cook County, Illinois",168311,1975,1031,944,2117,142,17,031,242200
"Census Tract 2423, Cook County, Illinois",106919,1620,837,783,1882,262,17,031,242300
"Census Tract 2424, Cook County, Illinois",110129,1597,402,1195,1677,80,17,031,242400
"Census Tract 2425, Cook County, Illinois",93279,1536,475,1061,1737,201,17,031,242500
"Census Tract 2426, Cook County, Illinois",85000,2588,745,1843,2643,55,17,031,242600
"Census Tract 2427, Cook County, Illinois",80227,806,283,523,858,52,17,031,242700
"Census Tract 2428, Cook County, Illinois",165375,691,420,271,750,59,17,031,242800
"Census Tract 2429, Cook County, Illinois",124960,845,426,419,960,115,17,031,242900
"Census Tract 2430, Cook County, Illinois",123750,1098,487,611,1166,68,17,031,243000
"Census Tract 2431, Cook County, Illinois",107833,958,445,513,1042,84,17,031,243100
"Census Tract 2432, Cook County, Illinois",124648,1117,665,452,1175,58,17,031,243200
"Census Tract 2433, Cook County, Illinois",122917,1371,317,1054,1415,44,17,031,243300
"Census Tract 2434, Cook County, Illinois",113966,1540,557,983,1618,78,17,031,243400
"Census Tract 2435, Cook County, Illinois",169198,2440,909,1531,2702,262,17,031,243500
"Census Tract 2502, Cook County, Illinois",45019,853,448,405,880,27,17,031,250200
"Census Tract 2503, Cook County, Illinois",64537,1648,890,758,1790,142,17,031,250300
"Census Tract 2504, Cook County, Illinois",47281,2085,1022,1063,2267,182,17,031,250400
"Census Tract 2505, Cook County, Illinois",120386,2909,2521,388,3082,173,17,031,250500
"Census Tract 2506, Cook County, Illinois",81458,1291,1054,237,1444,153,17,031,250600
"Census Tract 2507, Cook County, Illinois",50924,2159,549,1610,2476,317,17,031,250700
"Census Tract 2508, Cook County, Illinois",65884,807,528,279,883,76,17,031,250800
"Census Tract 2510, Cook County, Illinois",35568,419,178,241,450,31,17,031,251000
"Census Tract 2511, Cook County, Illinois",40584,1704,644,1060,1814,110,17,031,251100
"Census Tract 2512, Cook County, Illinois",64309,1208,831,377,1330,122,17,031,251200
"Census Tract 2513, Cook County, Illinois",42182,1504,656,848,1732,228,17,031,251300
"Census Tract 2514, Cook County, Illinois",21049,2109,409,1700,2221,112,17,031,251400
