geoid,intptlat,intptlon,aland_sqm,awater_sqm
17031580300,+41.8251876,-087.7089340,471020,0
17031580400,+41.8152753,-087.7091845,1316120,0
17031580501,+41.8199860,-087.6994962,492117,0
17031580502,+41.8145617,-087.6993102,494416,0
17031580600,+41.8173978,-087.6920314,492790,0
17031580700,+41.8174935,-087.6868459,550116,0
17031580800,+41.8102197,-087.6866436,183294,0
17031590500,+41.8248978,-087.6804596,572106,24222
17031590600,+41.8268332,-087.6729244,347982,0
17031590700,+41.8260539,-087.6627888,869830,12614
17031600400,+41.8417183,-087.6439322,327229,0
17031600600,+41.8424685,-087.6557510,394134,11665
17031600700,+41.8407816,-087.6605430,447251,39858
17031600900,+41.8365130,-087.6531428,382321,0
17031610300,+41.8161779,-087.6751022,2383657,0
17031610400,+41.8103984,-087.6674491,163180,0
17031610800,+41.8127119,-087.6384046,332497,0
17031611200,+41.8049939,-087.6624414,327038,0
17031611300,+41.8049362,-087.6673039,327029,0
17031611400,+41.8048929,-087.6721661,326619,0
17031611500,+41.8053819,-087.6787310,507432,0
17031611600,+41.7976329,-087.6768980,335433,0
17031611700,+41.7975991,-087.6719762,328310,0
17031611800,+41.7976477,-087.6671138,327809,0
17031611900,+41.7985375,-087.6595552,612381,41168
17031612000,+41.7978466,-087.6525360,325911,0
17031612100,+41.7979128,-087.6476808,326357,0
17031612200,+41.8048761,-087.6527194,898079,0
17031620100,+41.7980175,-087.7180257,837583,0
17031620200,+41.7955215,-087.7292339,577060,0
17031620300,+41.7895025,-087.7304438,992183,0
17031620400,+41.7896382,-087.7181682,656282,0
17031630300,+41.7988620,-087.7086378,985487,0
17031630400,+41.7972545,-087.6987811,658248,0
17031630500,+41.7974279,-087.6890171,657659,0
